"Company","City","location","latitude","longitude"
"ING","Amsterdam","Amsterdam",52.3730796,4.8924534
"Optimizely","Amsterdam","Amsterdam",52.3730796,4.8924534
"Drukwerkdeal.nl","Deventer","Deventer",52.2694897,6.23648855066233
"Vesper","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Icon plc","Groningen","Groningen",53.2190652,6.5680077
"RESONIKS","Den Haag","Den Haag",52.0799838,4.3113461
"Drukwerkdeal.nl","Deventer","Deventer",52.2694897,6.23648855066233
"Albert Heijn","Zaandam","Zaandam",52.4424926,4.8298607
"Algemene Rekenkamer","Den Haag","Den Haag",52.0799838,4.3113461
"Militaire Inlichtingen- en Veiligheidsdienst (MIVD)","Eibergen","Eibergen",52.1032685,6.6511683
"DataTalent","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Gemeente Leeuwarden","Leeuwarden","Leeuwarden",53.2005936,5.7918548
"Ministerie van Defensie","Eibergen","Eibergen",52.1032685,6.6511683
"Ring of Security B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"Kraft Heinz Company","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Picnic","Amsterdam","Amsterdam",52.3730796,4.8924534
"Adyen","Amsterdam","Amsterdam",52.3730796,4.8924534
"Bunnik Plants","Bleiswijk","Bleiswijk",52.0109579,4.5310837
"Raad van State","Den Haag","Den Haag",52.0799838,4.3113461
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"Just Eat Takeaway.com","Amsterdam","Amsterdam",52.3730796,4.8924534
"Just Eat Takeaway.com","Amsterdam","Amsterdam",52.3730796,4.8924534
"Walker & Dunlop","Thuiswerk","Thuiswerk",NA,NA
"Not selling liquid","Amsterdam","Amsterdam",52.3730796,4.8924534
"Schneider Electric","Amsterdam","Amsterdam",52.3730796,4.8924534
"Walker & Dunlop","Thuiswerk","Thuiswerk",NA,NA
"Essent","Den Bosch","Den Bosch",51.6889387,5.303116
"Amsterdam UMC","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"NIBC","Den Haag","Den Haag",52.0799838,4.3113461
"Givaudan","Naarden","Naarden",52.2957628,5.1633636
"Erasmus Universiteit Rotterdam","Rotterdam","Rotterdam",51.9244424,4.47775
"Amsterdam UMC","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"Crocs, Inc. Global Jobs","Hoofddorp","Hoofddorp",52.305554,4.6926644
"IKEA","Amsterdam","Amsterdam",52.3730796,4.8924534
"Levy Professionals","Utrecht","Utrecht",52.0907006,5.1215634
"TUI Group","Rijswijk","Rijswijk",52.0446265,4.3188215
"Markel Corporation","Rotterdam","Rotterdam",51.9244424,4.47775
"Kamer van Koophandel","Utrecht","Utrecht",52.0907006,5.1215634
"Satelliet Meubelen","Breda","Breda",51.5887845,4.7760237
"House of Bèta","Den Haag","Den Haag",52.0799838,4.3113461
"Universiteit Leiden","Leiden","Leiden",52.1594747,4.4908843
"LX Pantos Netherlands B.V.","Tilburg","Tilburg",51.58561845,5.06606161313677
"House of Bèta","Rotterdam","Rotterdam",51.9244424,4.47775
"DPG Media","Amsterdam","Amsterdam",52.3730796,4.8924534
"Ministerie van Defensie","Huis ter Heide","Huis ter Heide",53.0197445,6.4655281341801
"AKD","Rotterdam","Rotterdam",51.9244424,4.47775
"Royal IHC","Sliedrecht","Sliedrecht",51.8308564,4.76984303118367
"House of Bèta","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Broekhuis","Putten","Putten",52.24773005,5.57827393798401
"Stater","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"House of Bèta","Den Haag","Den Haag",52.0799838,4.3113461
"A-INSIGHTS","Amsterdam","Amsterdam",52.3730796,4.8924534
"EY","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"TreviPay","Rijswijk","Rijswijk",52.0446265,4.3188215
"Inpact Solutions","Hoofddorp","Hoofddorp",52.305554,4.6926644
"House of Bèta","Rotterdam","Rotterdam",51.9244424,4.47775
"Planbureau voor de Leefomgeving/Ministerie van Infrastructuur en Waterstaat","Den Haag","Den Haag",52.0799838,4.3113461
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"NS","Utrecht","Utrecht",52.0907006,5.1215634
"Booking.com","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"RiverBank S.A. Dutch Branch","Schiphol","Schiphol",52.3080392,4.7621975
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Energie Data Services Nederland","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Rijksinstituut voor Volksgezondheid en Milieu (RIVM)","Bilthoven","Bilthoven",52.1289693,5.2046134
"Dienst Uitvoering Onderwijs (DUO)","Den Haag","Den Haag",52.0799838,4.3113461
"Belastingdienst","Apeldoorn","Apeldoorn",52.17957375,5.93007746080725
"The Headhunter Group B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Booking.com","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Goldman Sachs","Den Haag","Den Haag",52.0799838,4.3113461
"Varrlyn","Amsterdam-Zuidoost","Amsterdam-Zuidoost",52.2835706,4.9524489
"Luxoft","Amsterdam","Amsterdam",52.3730796,4.8924534
"HCME","Amsterdam Westpoort","Amsterdam Westpoort",52.3933601,4.794733
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"VeiligheidNL","Amsterdam Nieuw-West","Amsterdam Nieuw-West",52.3584251,4.8061869
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Royal Den Hartogh Logistics","Rotterdam","Rotterdam",51.9244424,4.47775
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"ING Group","Amsterdam","Amsterdam",52.3730796,4.8924534
"Gemeente Utrecht","Utrecht","Utrecht",52.0907006,5.1215634
"Formorrow","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Online Dialogue","Utrecht","Utrecht",52.0907006,5.1215634
"Formorrow","Rotterdam","Rotterdam",51.9244424,4.47775
"Ampère","Utrecht","Utrecht",52.0907006,5.1215634
"Chane","Rotterdam","Rotterdam",51.9244424,4.47775
"Venture IQ","Amsterdam","Amsterdam",52.3730796,4.8924534
"code d'azur","Amsterdam","Amsterdam",52.3730796,4.8924534
"Johnson & Johnson","Leiden","Leiden",52.1594747,4.4908843
"bunq","Amsterdam","Amsterdam",52.3730796,4.8924534
"PGGM","Zeist","Zeist",52.0892832,5.2276307
"Lekkerland Nederland B.V.","Son","Son",29.3333331,-110.6666671
"Finalyse","Amsterdam","Amsterdam",52.3730796,4.8924534
"ABN AMRO","Amstelveen","Amstelveen",52.2862177,4.85264925974603
"De Volksbank","Utrecht","Utrecht",52.0907006,5.1215634
"Duke Energy","Drenthe","Drenthe",52.9067922,6.6368423
"Finalyse","Amsterdam","Amsterdam",52.3730796,4.8924534
"REMOBIS Refund Service C.V","Utrecht","Utrecht",52.0907006,5.1215634
"FOTONIQ","Delft","Delft",52.0114017,4.35839
"Eneco","Rotterdam","Rotterdam",51.9244424,4.47775
"Evalan","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"LOGEX Group B.V.","Amsterdam","Amsterdam",52.3730796,4.8924534
"Odido","Den Haag","Den Haag",52.0799838,4.3113461
"Booking.com","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Quion Groep B.V.","Capelle aan den IJssel","Capelle aan den IJssel",51.9312552,4.5883596
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"B&S","Farmsum","Farmsum",53.3226566,6.9286233
"Belastingdienst","Utrecht","Utrecht",52.0907006,5.1215634
"Interfood","Nederland","Nederland",52.2434979,5.6343227
"Albert Heijn","Zaandam","Zaandam",52.4424926,4.8298607
"Stedin","Rotterdam","Rotterdam",51.9244424,4.47775
"IKEA","Amsterdam","Amsterdam",52.3730796,4.8924534
"Laborie Medical Technologies Corp","Amsterdam Zuid","Amsterdam Zuid",52.3390172,4.8734324
"Mindray","Hoevelaken","Hoevelaken",52.1757138,5.4577033
"FIT","Dordrecht","Dordrecht",51.814429,4.6692438
"Société Générale","Amsterdam","Amsterdam",52.3730796,4.8924534
"DHL","Maastricht","Maastricht",50.8512438,5.6909768
"Cosun","Alphen aan den Rijn","Alphen aan den Rijn",52.1131403,4.64084119994507
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Ring of Security B.V. - H42","Amsterdam","Amsterdam",52.3730796,4.8924534
"AMPSTEK","Thuiswerk","Thuiswerk",NA,NA
"ILIAS Solutions","Almere","Almere",52.3705038,5.2185859
"EIFFEL","Den Haag","Den Haag",52.0799838,4.3113461
"House of Bèta","Den Bosch","Den Bosch",51.6889387,5.303116
"Action","Zwaagdijk-Oost","Zwaagdijk-Oost",52.7047349,5.1336218
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"a.s.r.","Utrecht","Utrecht",52.0907006,5.1215634
"Coolgradient","Amsterdam Nieuw-West","Amsterdam Nieuw-West",52.3584251,4.8061869
"Gaming Laboratories International","Haarlem","Haarlem",52.3885317,4.6388048
"Rituals","Amsterdam","Amsterdam",52.3730796,4.8924534
"Equinix","Amsterdam Oost","Amsterdam Oost",52.3518137,4.9305528
"Stedin","Rotterdam","Rotterdam",51.9244424,4.47775
"Boston Scientific Corporation","Kerkrade","Kerkrade",50.8749089,6.05938528490746
"House of Bèta","Amsterdam","Amsterdam",52.3730796,4.8924534
"Beequip","Rotterdam","Rotterdam",51.9244424,4.47775
"Amadeus","Utrecht","Utrecht",52.0907006,5.1215634
"Fujifilm Manufacturing Europe B.V.","Tilburg","Tilburg",51.58561845,5.06606161313677
"Hogeschool Utrecht","Utrecht","Utrecht",52.0907006,5.1215634
"ON THAT ASS","Rosmalen","Rosmalen",51.71866,5.3629244
"Lunet","Eindhoven","Eindhoven",51.4392648,5.478633
"Corbion","Gorinchem","Gorinchem",51.8296133,4.9738743
"Gemeente Zwolle","Zwolle","Zwolle",52.5089759,6.0943765
"FLYR Labs","Amsterdam","Amsterdam",52.3730796,4.8924534
"VvAA","Utrecht","Utrecht",52.0907006,5.1215634
"MVGM","Rijswijk","Rijswijk",52.0446265,4.3188215
"Hollister Incorporated","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Converse","Hilversum","Hilversum",52.2241375,5.1719396
"Albert Heijn","Zaandam","Zaandam",52.4424926,4.8298607
"EVBox","Amsterdam","Amsterdam",52.3730796,4.8924534
"Erasmus MC","Rotterdam","Rotterdam",51.9244424,4.47775
"Irdeto","Hoofddorp","Hoofddorp",52.305554,4.6926644
"ZDHC Foundation","Amsterdam","Amsterdam",52.3730796,4.8924534
"Rijksvastgoedbedrijf (Ministerie van BZK)","Den Haag","Den Haag",52.0799838,4.3113461
"Holland Talent Group","Rijnsburg","Rijnsburg",52.1893268,4.438952
"Johnson Controls International","Echt","Echt",51.1073016,5.8719765
"Atradius","Amsterdam","Amsterdam",52.3730796,4.8924534
"Politie","Driebergen","Driebergen",-33.7034318,18.9843867
"Coöperatie VGZ","Arnhem","Arnhem",51.984257,5.9108573
"Wageningen University & Research","Wageningen","Wageningen",51.9750995,5.6636754
"Coolgradient","Amsterdam Nieuw-West","Amsterdam Nieuw-West",52.3584251,4.8061869
"Coöperatie VGZ","Eindhoven","Eindhoven",51.4392648,5.478633
"Bullhorn","Thuiswerk","Thuiswerk",NA,NA
"Achmea","Tilburg","Tilburg",51.58561845,5.06606161313677
"Politie","Rotterdam","Rotterdam",51.9244424,4.47775
"SSC-ICT (Ministerie van BZK)","Den Haag","Den Haag",52.0799838,4.3113461
"Belastingdienst","Apeldoorn","Apeldoorn",52.17957375,5.93007746080725
"TKH Security","Zoetermeer","Zoetermeer",52.0622531,4.4901218
"WerkTalent","Breda","Breda",51.5887845,4.7760237
"Radboudumc","Nijmegen","Nijmegen",51.8474946,5.8637771
"Ministerie van Justitie en Veiligheid, Justitiële ICT Organisatie (JIO)","Gouda","Gouda",52.0114922,4.7106094
"Gemeente Amsterdam","Amsterdam","Amsterdam",52.3730796,4.8924534
"Medtronic","Heerlen","Heerlen",50.8775239,5.98150658545488
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Mimecast","Hilversum","Hilversum",52.2241375,5.1719396
"Emerson","Rijswijk","Rijswijk",52.0446265,4.3188215
"Royal FloraHolland","Naaldwijk","Naaldwijk",51.9930016,4.2074197
"Vermaat","IJsselstein","IJsselstein",52.02620525,5.02868592322906
"Kramp GmbH","Varsseveld","Varsseveld",51.9438019,6.4636436
"DXC Technology","Nederland","Nederland",52.2434979,5.6343227
"Fluke","Eindhoven","Eindhoven",51.4392648,5.478633
"Politie","Den Haag","Den Haag",52.0799838,4.3113461
"Essity","Zeist","Zeist",52.0892832,5.2276307
"Thermo Fisher Scientific","Bleiswijk","Bleiswijk",52.0109579,4.5310837
"Personato","Tegelen","Tegelen",51.3429314,6.1362198
"Clean Globe Staffing B.V.","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"APG","Amsterdam","Amsterdam",52.3730796,4.8924534
"LyondellBasell Industries","Rotterdam","Rotterdam",51.9244424,4.47775
"Orbisk","Utrecht","Utrecht",52.0907006,5.1215634
"Magnit","Thuiswerk","Thuiswerk",NA,NA
"ABN AMRO","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"ABN AMRO","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"JLL","Amsterdam","Amsterdam",52.3730796,4.8924534
"Gemeente Amsterdam","Amsterdam","Amsterdam",52.3730796,4.8924534
"Gemeente Amsterdam","Amsterdam","Amsterdam",52.3730796,4.8924534
"Stater","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Radboudumc","Nijmegen","Nijmegen",51.8474946,5.8637771
"Cass Information Systems","Breda","Breda",51.5887845,4.7760237
"UNIS group","Grou","Grou",53.0936536,5.8322342
"Metyis AG","Amsterdam","Amsterdam",52.3730796,4.8924534
"VvAA Groep B.V.","Utrecht","Utrecht",52.0907006,5.1215634
"ViCentra","Utrecht","Utrecht",52.0907006,5.1215634
"Roodenburg","Krimpen aan den IJssel","Krimpen aan den IJssel",51.914403,4.5887889
"Finventory","Oud Gastel","Oud Gastel",51.5876474,4.4599702
"Buurts","Haarlem","Haarlem",52.3885317,4.6388048
"DataTalent B.V.","Leeuwarden","Leeuwarden",53.2005936,5.7918548
"CINQ ICT B.V.","Amsterdam-Zuidoost","Amsterdam-Zuidoost",52.2835706,4.9524489
"AFS Group B.V.","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Avery Dennison","Oegstgeest","Oegstgeest",52.1833669,4.4721294029763
"DA VINCI DERIVATIVES","Amsterdam","Amsterdam",52.3730796,4.8924534
"Microsoft","Middenmeer","Middenmeer",52.8111468,4.9948462
"Hans Anders Nederland","Gorinchem","Gorinchem",51.8296133,4.9738743
"IDEXX","Hoofddorp","Hoofddorp",52.305554,4.6926644
"Welbions","Hengelo OV","Hengelo OV",52.2658726,6.7924049
"Wikimedia Foundation","Amsterdam","Amsterdam",52.3730796,4.8924534
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Rijksdienst Caribisch Nederland","Bonaire","Bonaire",12.167,-68.2876438560294
"InControl","Woerden","Woerden",52.08701595,4.8766871986735
"Flow Traders","Amsterdam","Amsterdam",52.3730796,4.8924534
"Bacardi-Martini","Rotterdam","Rotterdam",51.9244424,4.47775
"Action","Zwaagdijk-Oost","Zwaagdijk-Oost",52.7047349,5.1336218
"Professionele Diensten","Haaglanden","Haaglanden",52.0567472,4.36473225425532
"Mathrix","Amsterdam","Amsterdam",52.3730796,4.8924534
"KPN","Rotterdam","Rotterdam",51.9244424,4.47775
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Bynder","Amsterdam","Amsterdam",52.3730796,4.8924534
"Parnassia","Den Haag","Den Haag",52.0799838,4.3113461
"a.s.r.","Utrecht","Utrecht",52.0907006,5.1215634
"Organisatie en Personeel Rijk (Ministerie van Binnenlandse Zaken en Koninkrijksrelaties)","Den Haag","Den Haag",52.0799838,4.3113461
"Picnic","Amsterdam","Amsterdam",52.3730796,4.8924534
"ABN AMRO","Amsterdam","Amsterdam",52.3730796,4.8924534
"ITsPeople","Zaltbommel","Zaltbommel",51.782164,5.18982673715897
"Aegon Asset Management","Den Haag","Den Haag",52.0799838,4.3113461
"Maersk","Den Haag","Den Haag",52.0799838,4.3113461
"Nederlandse Voedsel- en Warenautoriteit (NVWA)","Utrecht","Utrecht",52.0907006,5.1215634
"ITsPeople","Zaltbommel","Zaltbommel",51.782164,5.18982673715897
"Basalt","Leiden","Leiden",52.1594747,4.4908843
"Crocs, Inc. Global Jobs","Hoofddorp","Hoofddorp",52.305554,4.6926644
"Kraft Heinz Company","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Dr. Oetker","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Medtronic","Heerlen","Heerlen",50.8775239,5.98150658545488
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Stryker","Amsterdam Centrum","Amsterdam Centrum",52.3353826,4.9377128
"Web-IQ","Groningen","Groningen",53.2190652,6.5680077
"Nationale-Nederlanden","Den Haag","Den Haag",52.0799838,4.3113461
"Greenchoice","Rotterdam","Rotterdam",51.9244424,4.47775
"Nieuwestroom","Maastricht","Maastricht",50.8512438,5.6909768
"Medtronic","Heerlen","Heerlen",50.8775239,5.98150658545488
"Metyis AG","Amsterdam","Amsterdam",52.3730796,4.8924534
"Flexcity","Amsterdam","Amsterdam",52.3730796,4.8924534
"Summa College","Nederland","Nederland",52.2434979,5.6343227
"Bright Professionals","Leeuwarden","Leeuwarden",53.2005936,5.7918548
"Abbott Laboratories","Zwolle","Zwolle",52.5089759,6.0943765
"Kraton Corporation","Almere","Almere",52.3705038,5.2185859
"StrateX","Capelle aan den IJssel","Capelle aan den IJssel",51.9312552,4.5883596
"KleurrijkWonen","Tiel","Tiel",51.8874333,5.4372681
"Solidmoves Werving en Selectie","Dronten","Dronten",52.5236608,5.7160381
"HDI Global","Rotterdam","Rotterdam",51.9244424,4.47775
"Medtronic","Heerlen","Heerlen",50.8775239,5.98150658545488
"Vopak","Rotterdam","Rotterdam",51.9244424,4.47775
"Europol","Den Haag","Den Haag",52.0799838,4.3113461
"ANWB","Den Haag","Den Haag",52.0799838,4.3113461
"TMC","Eindhoven","Eindhoven",51.4392648,5.478633
"de Bijenkorf","Amsterdam","Amsterdam",52.3730796,4.8924534
"Action","Lelystad","Lelystad",52.5150949,5.4768915
"Politie","Rotterdam","Rotterdam",51.9244424,4.47775
"Infor","Barneveld","Barneveld",52.17150665,5.64543924995403
"Maersk","Den Haag","Den Haag",52.0799838,4.3113461
"Savills","Amsterdam","Amsterdam",52.3730796,4.8924534
"Smith & Nephew","Nederland","Nederland",52.2434979,5.6343227
"NS","Utrecht","Utrecht",52.0907006,5.1215634
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Cognizant","Amsterdam","Amsterdam",52.3730796,4.8924534
"Thermo Fisher Scientific","Eindhoven","Eindhoven",51.4392648,5.478633
"Stater","Amersfoort","Amersfoort",52.16377025,5.40888453756801
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Perfetti Van Melle","Schiphol","Schiphol",52.3080392,4.7621975
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Rabobank","Utrecht","Utrecht",52.0907006,5.1215634
"Infor","Barneveld","Barneveld",52.17150665,5.64543924995403
